top,depth1,depth2,depth3,depth4,depth5,depth4_id,depth5_id
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용2(도형 및 기타),도형4(평면도형의 길이 또는 넓이의 표현),11747,11751
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용2(도형 및 기타),도형5(지름의 원주각 이용),11747,11752
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용2(도형 및 기타),도형6(입체도형),11747,11753
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용2(도형 및 기타),도형7(각 도형의 합=전체),11747,11754
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용2(도형 및 기타),도형8(넓이 또는 부피를 이용한 곱셈공식의 증명),11747,11755
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용2(도형 및 기타),도형9(자연수 조건의 변의 길이),11747,11756
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용2(도형 및 기타),도형10(라그랑주 항등식),11747,11757
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용2(도형 및 기타),기타1(평균과 분산),11747,11758
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용2(도형 및 기타),기타2(경우의 수),11747,11759
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용2(도형 및 기타),기타3(실생활 활용. 주어진 식),11747,11760
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용3(곱셈공식의 변형의 활용),문자2개1(정수론),11761,11762
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용3(곱셈공식의 변형의 활용),문자2개2(정의된 함수),11761,11763
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용3(곱셈공식의 변형의 활용),문자2개3(직각삼각형 또는 직사각형 조건),11761,11764
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용3(곱셈공식의 변형의 활용),문자2개4(지름의 원주각),11761,11765
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용3(곱셈공식의 변형의 활용),문자2개5(원 관련),11761,11766
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용3(곱셈공식의 변형의 활용),문자2개6(평면도형의 넓이),11761,11767
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용3(곱셈공식의 변형의 활용),문자2개7(입체도형의 넓이. 부피),11761,11768
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용3(곱셈공식의 변형의 활용),역수관계1(길이비),11761,11769
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용3(곱셈공식의 변형의 활용),문자3개1(삼각형의 꼴 구하기),11761,11770
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용3(곱셈공식의 변형의 활용),문자3개2(평면도형의 넓이),11761,11771
